State_ID,State_Type,Probe_Index,Probe_Phase,R_target,DatasetValid,PhysicalFeasible,RecoveryTargetMet,Recovery_actual,Recovery_error,P1_MPa,P2_MPa,W_kW,Cp_mg_L,dP1_MPa,Jfirst1_LMH,ExitFlag,Runtime_s,FailureReason
37,LowTemperatureEdge,6,Coarse,0.476543766055023,0,0,1,0.47654366864765,-9.7407373444991e-08,6.24489196790259,8.3,109.168529933946,562.703856587974,0.329189736626758,18.9247005118156,-2,31.3813956,Product_salinity_max
37,LowTemperatureEdge,7,Coarse,0.503852519266028,0,0,0,0.425055160061345,-0.078797359204683,6.70622727256222,6.71833862972767,75.8509236344216,618.039551666857,0.316271690974439,21.6986519036091,-2,12.618153,Product_salinity_max;Recovery_target_mismatch
37,LowTemperatureEdge,8,Coarse,0.531161272477032,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11,0.6495007,Recovery_root_not_found_N30
37,LowTemperatureEdge,9,Coarse,0.558470025688037,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11,0.115916,Recovery_root_not_found_N30
38,HighTemperatureEdge,1,Coarse,0.34,0,0,0,0.400670630427655,0.0606706304276552,5.18030322703854,5.77472975569837,80.4212909051395,516.074345796829,0.361487643637817,28.2076958763671,-2,36.2593421,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
38,HighTemperatureEdge,2,Coarse,0.358490281498795,0,0,0,0.401666112549167,0.0431758310503718,5.39184176501526,5.63889651537152,75.7974336220426,524.390578939545,0.35002013234822,31.1254414338469,-2,39.0915428,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
38,HighTemperatureEdge,3,Coarse,0.376980562997591,0,0,0,0.420800756504252,0.0438201935066619,5.39276564045516,5.88972830217346,82.1429609537156,506.850995922774,0.350195979819288,31.0893322596967,-2,35.6595649,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
38,HighTemperatureEdge,4,Coarse,0.395470844496386,0,0,0,0.425269026079154,0.0297981815827684,5.3934957120589,5.94840892167412,83.8024683932648,503.027498446791,0.350209415519885,31.0880329821485,-2,33.0093309,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
38,HighTemperatureEdge,5,Coarse,0.413961125995181,0,0,0,0.428067151998528,0.0141060260033468,5.39387704705153,5.98532863970359,84.8460617751284,500.676488494733,0.350221837304948,31.0861818642552,-2,28.3151122,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
38,HighTemperatureEdge,6,Coarse,0.432451407493976,1,1,1,0.432451407493975,-1.4432899320127e-15,5.46347183569992,5.99796792844695,84.7370357993691,500.000000000002,0.346581676929452,32.0340755021805,1,20.0909921,
38,HighTemperatureEdge,7,Coarse,0.450941688992771,1,1,1,0.450941688992753,-1.87627691161651e-14,5.68253573738347,6.11012453573137,86.6110550744182,494.665692298305,0.335450712622271,35,1,19.9443557,
38,HighTemperatureEdge,8,Coarse,0.469431970491567,1,1,1,0.469431970491543,-2.35367281220533e-14,5.68595721727588,6.3704029510203,93.6877087142624,481.566447318256,0.335486590395267,35.0000000000007,1,19.5397704,
38,HighTemperatureEdge,9,Coarse,0.487922251990362,1,1,1,0.487922251990175,-1.86572979288258e-13,5.68935466910116,6.63730782737508,100.887345727331,469.73514717418,0.335522208612077,35.0000000000003,1,20.1410925,
38,HighTemperatureEdge,10,LowerBisect,0.423206266744579,0,0,0,0.428707168710159,0.00550090196558017,5.39392846199114,5.99381106511016,85.085964536563,500.142200693068,0.350226584456157,31.0852657164245,-2,27.834952,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
38,HighTemperatureEdge,11,LowerBisect,0.427828837119277,0,1,0,0.429098444696477,0.00126960757719963,5.39826193805443,5.99615061524794,85.1219235858611,500.000255823898,0.350000080173796,31.1440122258971,-2,19.5806736,Recovery_target_mismatch
