DOE_ID,DOE_Type,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,Qp_train_m3h,Recovery_actual,Recovery_error,Cp_mg_L,W_RO_train_kW,SEC_kWh_m3,P1_opt_gauge_MPa,P2_opt_gauge_MPa,Javg_LMH,Jfirst_stage1_LMH,Jfirst_stage2_LMH,Jmax_local_stage1_LMH,Jmax_local_stage2_LMH,CPFmax_stage1,CPFmax_stage2,dP_stage1_MPa,dP_stage2_MPa,Cb_max_kg_m3,Qf_PV_stage1_m3h,Qf_PV_stage2_m3h,Qb_PV_stage1_m3h,Qb_PV_stage2_m3h,Qhpp_m3h,PXout_gauge_MPa,PX_excess_pressure_MPa,PX_booster_deltaP_MPa,PX_leakage_pct,PX_mix_pct,PX_iterations,PhysicalFeasible,RecoveryTargetMet,DatasetValid,FeasibilityMarginScaled,MaxConstraintViolationScaled,ExitFlag,FminconIterations,FminconFunctionCount,LocalStartsAttempted,OptimizerMethod,AnalyticScreenPassed,AnalyticRmax,AnalyticJavgTarget_LMH,RootEvalCountCoarse,RootEvalCountFinal,HybridSeedRankUsed,HybridSeedP1_N30_MPa,HybridSeedP2_N30_MPa,HybridN150SeedTrials,Runtime_s,FailureReason,ErrorMessage
250,ExternalVerification,58.8151299500843,34.7335202193494,38.9993403548605,0.415183470887569,25.3614242461882,0.431205784425064,0.0160223135374951,500.776649435779,87.3371743588781,3.44370148581087,5.21501042325033,6.23460491705381,16.6282613730581,24.0946945622446,22.2967904182108,26.1422326078569,24.7088954621386,1.08392843330264,1.08688285985593,0.350049789161782,0.257917518591034,69.900273274315,11.7630259900169,10.7688931817262,8.61511454538093,8.36342642597404,25.7402252059149,5.93288046227027,0.717870039019942,0,1.13231389992969,5.613479415066,5,0,0,0,-0.00155329887155831,0.00155329887155831,-2,2,35,1,root_seeded_fmincon,1,0.51864205733947,16.0104050572905,49,9,1,5.08167311919562,6.07919302597147,3,61.6575196,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
251,ExternalVerification,60.0318598002447,39.892599750052,41.1031592352586,0.431052385222906,26.865732404907,0.447524572690275,0.0164721874673697,500.785905483536,96.7447936900519,3.60104806494616,5.25192351893133,6.55041769650428,17.6145636014339,25.789242753811,26.3174741882912,28.3174548462413,29.6273980815645,1.07677396628705,1.08843096252549,0.350012119984702,0.25220986925842,75.9193982482732,12.0063719600489,10.9963226306549,8.79705810452389,8.29153184883443,27.2544785967993,6.24426052102821,0.992337002096888,0,1.17211812901304,5.6000835895145,5,0,0,0,-0.00157181096707215,0.00157181096707215,-2,2,35,1,root_seeded_fmincon,1,0.508130184563692,16.9662184344758,50,12,1,5.18565009383972,6.33477520600956,4,65.1391022,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
252,ExternalVerification,55.5858672274251,29.730849154665,38.9670767017055,0.488902113996259,27.1760479958035,0.488902113996259,5.55111512312578e-17,500,98.9649491104912,3.64162401853917,5.5948719112013,7.0740366680715,17.8180225516677,24.4781335534065,24.8676282894695,26.3631605083478,27.4770831420323,1.10427218698205,1.12440060533838,0.319245599527425,0.214876608296917,77.9083226288721,11.117173445485,9.79214393903925,7.8337151512314,7.10245480790541,27.5287740882235,6.78812196479293,1.19325005359164,0,1.24156401540009,5.57677580903553,5,1,1,1,-2.22044604925031e-16,2.22044604925031e-16,1,4,15,1,root_seeded_fmincon,1,0.548772584138974,17.8180225516677,41,3,1,5.07871461284298,7.44119284835981,3,31.6591591,,
253,ExternalVerification,62.0693250419287,36.2264139110325,40.5472002890109,0.442899905293305,28.0662827224352,0.45217638025669,0.00927647496338529,500.238572041563,87.60824006004,3.12147643228894,6.02896074273089,6.27877003971666,18.4017064794356,32.9575640946077,16.7405603132408,35.8165277805334,18.8450003603208,1.10639784358578,1.06598275811678,0.350022566166497,0.250176083810333,75.5435583939345,12.4138650083857,10.2477248412338,8.19817987298703,8.50076057987335,28.4534889433342,5.98313297661459,0,0.045827766116302,1.1387399317412,5.6113149788033,5,0,0,0,-0.000477144083125491,0.000477144083125491,-2,2,32,1,root_seeded_fmincon,1,0.491450486683948,18.0241923568644,49,12,1,5.94314696626878,6.16383212281587,4,54.2739409,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
254,ExternalVerification,57.2993287055625,29.8884551196018,40.7870265635929,0.521019014495395,29.8540397734196,0.52101901449539,-5.55111512312578e-15,500.000000000007,111.949529801232,3.74989551333371,6.14233471878403,7.69994959478843,19.573852460936,28.338774328875,26.2153537466107,30.5588873384062,29.2129525179233,1.118170523528,1.13500329481986,0.324096489953695,0.20650990908876,87.1492390685216,11.4598657411125,9.62662648768076,7.70130119014461,6.86132223303572,30.2163416933691,7.40399882214505,1.26166410336101,0,1.32008783308962,5.5505188480548,5,1,1,1,-1.4432899320127e-14,1.4432899320127e-14,1,3,12,1,root_seeded_fmincon,1,0.532362257797948,19.5738524609362,26,3,1,5.95052477247743,7.79293245768193,2,27.3829205,,
255,ExternalVerification,60.5997008074389,32.3576204744152,40.9977977206264,0.405986469483093,27.1168851107994,0.447475560926707,0.0414890914436146,520.168745996443,86.4073599144775,3.18647807671927,6.13566139908643,6.42209665012671,17.7792323044842,30.3996766991525,16.691327928126,32.854942039226,18.598325598187,1.11203812631843,1.07380369564458,0.349999989678747,0.25147438712221,75.7024436398159,12.1199401614878,10.1604462778072,8.12835702224579,8.37070392415989,27.5040546218546,6.12066883984779,0,0.0149925592386362,1.15632303615996,5.60539612832789,5,0,0,0,-0.0403374919928861,0.0403374919928861,-2,4,43,1,root_seeded_fmincon,1,0.5033688218516,16.1307753622763,45,12,1,5.95874665397265,5.86345224301789,4,61.856059,Product_salinity_max;Recovery_target_mismatch,
256,ExternalVerification,56.7071057778705,33.040818294011,39.4975794240482,0.508955332127412,28.8613838551603,0.508955332127411,-9.99200722162641e-16,500.000000000001,97.4731072451143,3.37728460056799,5.99566076954507,7.00162588795886,18.9230159029375,30.4247910956611,22.10683680546,32.959416253688,24.8497209804544,1.11683013279449,1.10663060290768,0.303663665309689,0.197252699835968,82.2746662222895,11.3414211555741,9.25390352457955,7.40312281966364,6.96143048067754,29.2052176503497,6.73497060847075,0.739309838925678,0,1.23478140068961,5.57904865439747,5,1,1,1,-2.44249065417534e-15,2.44249065417534e-15,1,3,12,1,root_seeded_fmincon,1,0.537922004333784,18.9230159029375,39,3,1,5.9041238003804,7.0263796833818,4,31.4772109,,
257,ExternalVerification,61.4739615666349,42.2886541434655,38.8581876216629,0.477059149454822,29.3267158185955,0.477059149454794,-2.76445533131664e-14,467.978413532948,90.1266238692884,3.07319184414576,5.63872799793722,6.21167763217533,19.2281116041146,35.0000000000018,19.9750605615758,38.4186631248475,22.8767740533587,1.0960994450641,1.06867736530467,0.325008864972192,0.223832671154091,75.9378118813106,12.294792313327,10.0199971689775,8.01599773518197,8.03681143700984,29.6911676025581,5.94368192917981,0.30495393124259,0,1.13369520617443,5.61301410061474,5,1,1,1,-5.11590769747272e-14,5.11590769747272e-14,1,3,12,1,root_seeded_fmincon,1,0.49621008997338,19.2281116041157,49,12,1,5.0768735864981,6.53580810431321,4,22.3125232,,
258,ExternalVerification,58.4220647921886,41.9968499309913,40.0056888028013,0.410498928705733,24.7899557733082,0.424325224750062,0.013826296044329,500.641153650101,95.2153987588164,3.84088618912894,4.62666524492343,6.28374295358398,16.2535770871415,20.1141924277777,30.1658442291045,22.2310483770024,33.8042448224731,1.05745786005451,1.09086540077427,0.350237690648364,0.260817523985543,70.8348461747914,11.6844129584377,11.5282429340813,9.22259434726502,8.40802725472012,25.1727020107084,5.97764476457834,1.35097951965491,0,1.13803816818429,5.61155131527006,5,0,0,0,-0.00128230730020129,0.00128230730020129,-2,2,33,1,root_seeded_fmincon,1,0.522131494470537,15.7239673550816,49,23,1,4.34099995897829,6.28028812501633,3,181.6358878,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
259,ExternalVerification,59.3464005774564,31.9359892557576,40.0904090844243,0.424140379482917,25.1712727111181,0.424141522757822,1.14327490524646e-06,530.947280902339,78.646622714553,3.12445952245454,5.80452594288206,6.10178325473349,16.5035881924456,27.4685151956017,16.0716669125083,29.659320406402,17.8219157356272,1.10378341548255,1.07046329524432,0.347514075172919,0.258475787486166,70.941649089608,11.8692801154913,10.2899030314357,8.23192242514856,8.54378196658459,25.5525992883267,5.80378074161059,0,0.000745201271471707,1.11580146444522,5.61904436723163,5,0,1,0,-0.0618945618046773,0.0618945618046773,-2,7,73,1,root_seeded_fmincon,1,0.513999159227651,16.503543706968,45,12,1,5.92554813513782,5.96937200599705,4,86.711217,Product_salinity_max,
260,ExternalVerification,56.1396929839787,24.7547251158531,39.6033786472629,0.479787026836486,27.1258225528081,0.483184376525702,0.00339734968921546,500.001336921579,112.756728774284,4.15680403994278,5.59451526931307,7.69574398819325,17.7850921536901,20.926961770896,27.8713167329416,22.3715390245805,30.3313723470402,1.10209809109726,1.15376907252268,0.350000051445943,0.238815770617572,78.2813020823062,11.2279385967957,10.3926904228007,8.31415233824057,7.25346760779267,27.5075196645896,7.36852009942019,1.77400483010712,0,1.31556771333587,5.55202748545409,5,0,0,0,-2.67384315866259e-06,2.67384315866259e-06,-2,3,21,1,root_seeded_fmincon,1,0.543358867471992,17.6600422136745,39,9,1,5.90624540663285,7.31658263863243,3,37.5879643,Product_salinity_max;Recovery_target_mismatch,
261,ExternalVerification,62.6769785215137,30.7286240864755,40.4991935412918,0.476404178537662,29.8595744657904,0.476404178538076,4.13558076672871e-13,492.595142269532,98.0365223253353,3.28325249369023,6.68677223421072,6.6240981125261,19.5774812914964,34.9999999999914,15.4498247518079,37.6553890921329,17.2198206478039,1.13215675527377,1.07383888962279,0.357596117286979,0.244561859389692,79.0310172787706,12.5353957043027,9.86387777406666,7.89110221925333,8.20435101393084,30.2475374151122,6.32306369694687,0,0.363708537263845,1.18218658813829,5.59669934036665,5,0,1,0,-0.0217031922485122,0.0217031922485122,-2,3,10,1,root_seeded_fmincon,1,0.486685872860473,19.5774812914794,37,9,1,6.72680589518875,6.55268752009904,3,26.3565776,Stage1_dP_max,
262,ExternalVerification,57.9032040040252,37.0612786997136,40.8320346047494,0.458466971727884,26.5467065930674,0.458466971727885,1.22124532708767e-15,499.999999999999,103.66954845859,3.90517551000707,5.06046335061273,6.88320395180624,17.4053937798763,21.9425432927264,30.104028598365,24.0031394275217,33.575765045472,1.07266696876725,1.10969064773461,0.345832630519676,0.24504117309356,76.9717499183322,11.580640800805,10.9927371173455,8.79418969387638,7.83912435273947,26.9274386119803,6.5737666247238,1.51330327411107,0,1.21420455200463,5.58594865857207,5,1,1,1,2.44249065417534e-15,0,1,3,12,1,root_seeded_fmincon,1,0.526810226216143,17.4053937798763,48,12,1,5.17163307520317,6.76638248011667,4,35.9887566,,
263,ExternalVerification,60.5358854715621,33.3560599221232,40.0236196579868,0.477455306799958,28.9031797849759,0.477455307043517,2.43558673229671e-10,496.92610670307,90.7620022694923,3.14020820355105,6.26285651230647,6.54668651032046,18.9504194761185,33.351964219407,17.1402224918118,36.0734276049661,19.2197057056543,1.11989941284036,1.07724093557438,0.334929133758155,0.22929376896061,78.2551820059884,12.1071770943124,9.71460655650295,7.77168524520236,7.90817642164657,29.274703769004,6.26284829587158,0,8.21643488535528e-06,1.17449322138035,5.59928511085811,5,1,1,1,0.00614778659386039,0,0,10,90,1,root_seeded_fmincon,1,0.503899460004262,18.9504194664515,44,3,1,5.9234119059376,6.75878002299682,3,80.9787211,,
264,ExternalVerification,56.5318259296918,41.3258664663231,39.1504773619899,0.42842479169804,24.2196357482382,0.428424791698042,2.27595720048157e-15,499.999999999997,93.9435627263465,3.87881814998726,4.46082260095871,6.25768190767639,15.8796457830043,18.4546047777736,30.9634035599066,20.3824680535189,34.6084127010153,1.05512624232635,1.09663842606701,0.336029356910978,0.248607860973506,69.8227923693434,11.3063651859384,11.2961177816928,9.0368942253542,8.07804754536342,24.5868067156536,5.96423431818961,1.5034117172309,0,1.13632336698182,5.6121288523637,5,1,1,1,6.77236045021345e-15,0,1,3,12,1,root_seeded_fmincon,1,0.539589859311065,15.8796457830042,58,3,1,4.28860259199949,6.34374977012697,3,35.4572466,,
265,ExternalVerification,61.8288736207179,38.9129917612056,38.8931288438934,0.475650266901106,29.4089202398885,0.475650266901094,-1.25455201782643e-14,470.491888962617,89.6490171879638,3.04836139704202,5.86923602658141,6.2473835545874,19.2820090741466,34.9999999999988,18.1942339952427,38.1537802800921,20.6503071643637,1.10500428434544,1.0686376511858,0.333784104274694,0.229831549379147,75.7944967757158,12.3657747241436,9.95917393889892,7.96733915111914,8.10498834520738,29.7776560162335,5.97244233928447,0.103206312703066,0,1.13737293824478,5.61177535576415,5,1,1,1,3.3090990265399e-14,0,1,2,9,1,root_seeded_fmincon,1,0.493361729135214,19.2820090741472,50,12,1,5.88323460721611,6.20307104121171,4,34.224715,,
266,ExternalVerification,59.0775620099902,29.0120204524058,40.7817195018129,0.458109922878813,28.5797056875446,0.483765827755581,0.0256559048767683,501.68201983882,104.013603787098,3.63942179546057,6.0946525031868,7.24667323753752,18.7383331284714,27.4251440189519,23.265153234929,29.4934669389549,25.6949132511058,1.11378363681138,1.11508530625626,0.350042202385483,0.237431525440858,80.7254050689608,11.815512401998,10.1554909915776,8.12439279326206,7.62446408061141,28.9640226319249,6.93376073107827,0.839108227891471,0,1.26014412395757,5.57055359727392,5,0,0,0,-0.00336403967763999,0.00336403967763999,-2,2,38,1,root_seeded_fmincon,1,0.516338165661638,17.7445694835201,38,9,1,5.95014121926679,6.87398166693265,3,53.7617362,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch,
267,ExternalVerification,59.6691153929442,39.4635128472589,40.814438533516,0.469093200988192,27.99037633981,0.469093200988192,2.77555756156289e-16,500,94.3285331529452,3.3700344721262,5.60438044676162,6.58248724942589,18.3519383292748,30.0562844721428,23.044113856636,32.9468583768954,26.1360654188523,1.09159355273467,1.08400432900563,0.329530395150637,0.229699129713536,78.5209125624238,11.9338230785888,10.2530797955214,8.2024638364171,7.91968476328356,28.3638291284295,6.29714432168352,0.692763874921895,0,1.17887516922039,5.59781219925714,5,1,1,1,7.7715611723761e-16,0,1,4,15,1,root_seeded_fmincon,1,0.51121924297217,18.3519383292748,49,12,1,5.17147369259157,6.83219094455413,4,39.6706961,,
