DOE_ID,DOE_Type,DataSplit,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,ProposalFeasibilityScore,NearestPriorDistance,Rmax_analytic_design
90,LowTemperatureChallenge,Train,56.7508833376139,22.6228511058571,38.7935265085711,0.527038033606624,0.929293489307015,0.0334954372354883,0.534507051978912
91,LowTemperatureChallenge,Validation,52.7573002901049,24.1965476700552,38.8510843590393,0.499616431476968,0.611111880311856,0.137776582798278,0.568496264144813
92,LowTemperatureChallenge,Test,58.6713561703375,26.7274436356738,38.7822302995353,0.514000852132269,0.835386023541713,0.159367088458744,0.516912986354693
93,LowTemperatureChallenge,Validation,53.7216351416368,21.8052193877007,38.5875951843386,0.557377132904467,0.553152035238964,0.11490396571224,0.564815925922143
94,LowTemperatureChallenge,Train,60.3460658447715,23.74939456511,39.4825339031989,0.499907868050851,0.557146266759032,0.122564266229571,0.502484484746124
95,LowTemperatureChallenge,Train,56.8981129017631,26.7159587879991,38.5049534133752,0.437382379229864,0.558876195992077,0.136195955161649,0.533116198663151
96,LowTemperatureChallenge,Train,56.3663023717109,25.6838066579169,38.7100584136731,0.537482182556064,0.859748862300241,0.11361126937478,0.53817440237324
97,LowTemperatureChallenge,Train,53.6965222699984,20.0167400821406,39.274538446641,0.52470383776936,0.576718519619814,0.132073431775423,0.563764933557084
98,LowTemperatureChallenge,Train,56.4213966004455,20.4320621658508,39.7804368586249,0.53712843124303,0.575292794203901,0.0751214880557904,0.537645957703201
99,LowTemperatureChallenge,Train,54.0521491559631,21.7233050433946,38.8450992735876,0.512254946462895,0.585984604626321,0.170697697086476,0.561343887825499
100,LowTemperatureChallenge,Test,57.360783550581,23.9415672133771,38.5056258861021,0.518278062560824,0.927898080513895,0.0886755243773059,0.52879189878223
101,LowTemperatureChallenge,Train,52.7858923939425,22.3491646324101,39.1059565700778,0.526691224069547,0.58301706746371,0.130951906492145,0.565648529943265
102,LowTemperatureChallenge,Validation,49.3507215550239,26.9072445252919,38.9481382368796,0.49182248386577,0.57148868198415,0.198283608992496,0.567411863275089
103,LowTemperatureChallenge,Train,52.3820503380454,26.5684202023729,38.7415159179264,0.567258246869905,0.59054889395342,0.139255722480873,0.569720492537135
104,LowTemperatureChallenge,Train,54.9791095379177,24.3295029009842,38.8959262237016,0.539915369803859,0.760503739207053,0.072372253358304,0.551828920591414
105,LowTemperatureChallenge,Train,57.1437308863378,21.1510548436454,38.6869486532006,0.484296680000756,0.562167052376072,0.155908460992556,0.530811837744271
106,LowTemperatureChallenge,Validation,61.04640211327,25.5495583421772,38.9640109024512,0.493345385926752,0.557581737905103,0.10428777788892,0.496685467841342
107,LowTemperatureChallenge,Train,58.0284751900103,26.2823141964311,39.5877914021547,0.493574145984578,0.655685056471476,0.12557219299093,0.522672954529939
108,LowTemperatureChallenge,Train,54.0203166044154,23.8044084024359,39.4664639730315,0.528522567448676,0.687356279433174,0.0828920442031179,0.561620514267805
109,LowTemperatureChallenge,Validation,60.4310182209386,26.5470529906516,41.2117096797747,0.500723744125463,0.566720949347886,0.146845920491399,0.501773887616389
110,LowTemperatureChallenge,Train,58.3989411723149,24.5410574448332,38.6340500309277,0.499562038240237,0.777394258256647,0.131458031202102,0.519338237434705
111,LowTemperatureChallenge,Train,60.1292247917997,26.2496505206914,40.559350546919,0.47934805081578,0.585657202362352,0.128379777788724,0.504307388472437
112,LowTemperatureChallenge,Test,57.0744932994113,26.9778525398914,38.651907122458,0.461434867015248,0.83460493928664,0.0423519066200066,0.531459409739773
113,LowTemperatureChallenge,Train,49.7180028723459,26.672926232657,38.5206581831809,0.458505811008884,0.557642507993612,0.171408850862507,0.572188176724236
114,LowTemperatureChallenge,Train,57.8274925026983,24.595129863058,39.7118691937806,0.515220970204747,0.736324292307054,0.0541404944429795,0.524499960309997
115,LowTemperatureChallenge,Train,59.3739986318611,24.3717852622151,38.8796860853275,0.492666429770128,0.647338589441066,0.129441644430257,0.510760243589709
116,LowTemperatureChallenge,Test,54.1942098516129,26.7377778246847,38.6543455363367,0.487919244286417,0.801717672417943,0.116803460677324,0.559864558474454
117,LowTemperatureChallenge,Train,58.9959556766108,25.9958907747727,38.8262205445458,0.468370876391835,0.607506939961101,0.100811865286647,0.514052391984447
118,LowTemperatureChallenge,Validation,60.933676879295,26.6757133897077,40.0053776828588,0.497330719575974,0.600046419728257,0.151747414595345,0.497609868996189
119,LowTemperatureChallenge,Test,53.5833782633678,26.9486176675644,38.7710415229546,0.53331876995902,0.84316047044947,0.119887273395923,0.566281015655073
120,LowTemperatureChallenge,Train,54.9287418437146,21.761976075603,39.594534719112,0.540251461865704,0.566368632049564,0.101596521797771,0.552337678892977
121,LowTemperatureChallenge,Train,54.3683070801445,24.6433515841013,39.2003053157446,0.504610079839248,0.916184647784246,0.0169184131330346,0.558062163569558
122,LowTemperatureChallenge,Test,53.8966097214328,24.5731191553477,39.9713986980682,0.52746858826235,0.552770867217019,0.156418891950377,0.555978785496444
123,LowTemperatureChallenge,Train,60.0982066091632,26.49883883106,39.2302336293686,0.497334921362278,0.804785619092326,0.0435828104810637,0.50456922246244
124,LowTemperatureChallenge,Train,54.8891011639428,26.9968612934276,38.7136418683503,0.465367276348235,0.680960741304872,0.136156952334687,0.55273874144688
125,LowTemperatureChallenge,Train,55.3552692946107,25.4241411423689,39.7018880050364,0.505401520752529,0.66302475183919,0.14860711781053,0.548058650580349
126,LowTemperatureChallenge,Train,56.7777432099055,26.6594839094225,39.6180496078172,0.5227135879784,0.770981410141457,0.0890920668558968,0.534252773278214
127,LowTemperatureChallenge,Train,55.5436100057482,20.1102116425242,38.8693155149811,0.534917852800704,0.613225925633996,0.14174985181085,0.54619008679564
128,LowTemperatureChallenge,Train,55.108302442554,21.6904835419329,38.6754217289704,0.474153573347581,0.561808295832666,0.196316135924457,0.550528209869974
129,LowTemperatureChallenge,Train,59.5355540344778,25.0541831726291,38.522629987039,0.463881195173173,0.559451835156297,0.147596874945102,0.509366106181438
130,LowTemperatureChallenge,Train,53.1638747873709,23.4590579095601,39.716082285743,0.525590380076127,0.613947917979184,0.107651542708804,0.558831482840861
131,LowTemperatureChallenge,Validation,55.4598479223096,26.9986547795193,40.2291166501863,0.533280601565628,0.630895288283049,0.125312079413646,0.547019539230097
132,LowTemperatureChallenge,Train,53.7101700497367,24.8148839761839,38.7527849619194,0.517533176550444,0.736191259706509,0.139533174099861,0.564937133167753
133,LowTemperatureChallenge,Train,57.9856446997386,20.6482582523901,39.249169432979,0.522505677856494,0.569120463444506,0.137318169877716,0.523061237362383
134,LowTemperatureChallenge,Test,57.6280559556182,24.8276747225502,39.1732198034159,0.483505787232426,0.595268306666797,0.115455245143423,0.52632550810828
135,LowTemperatureChallenge,Train,52.830999539795,26.7491658377619,38.8110352479729,0.467287056096945,0.64286346351094,0.14622903484438,0.568943740246113
136,LowTemperatureChallenge,Train,52.8066311767906,26.1779229155538,38.5382176059085,0.474399474946928,0.726968909985609,0.0895226637442639,0.571991982056888
137,LowTemperatureChallenge,Train,57.4497801573744,26.218509571759,38.9256187404005,0.5268659609216,0.880114303912521,0.127650976466673,0.527968089284924
138,LowTemperatureChallenge,Train,55.5341291567323,25.9506580181079,38.8152367937045,0.513656265493035,0.851696241026725,0.129332166735516,0.546283845145199
