DOE_ID,ScanLevel,P1_MPa,P2_MPa,W_kW,Cp_mg_L,Recovery,RecoveryError,TargetMet,PhysicalFeasible,Success,RootEvalCount,Runtime_s,FailureReason,SelectedBest
955,coarse,7.41216682195507,NaN,NaN,NaN,NaN,NaN,0,0,0,5,3.8894781,recovery_not_bracketed_in_P2,0
955,coarse,7.49287892905006,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.132182,recovery_not_bracketed_in_P2,0
955,coarse,7.57359103614506,NaN,NaN,NaN,NaN,NaN,0,0,0,5,3.9816527,recovery_not_bracketed_in_P2,0
955,coarse,7.65430314324005,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.2305615,recovery_not_bracketed_in_P2,0
955,coarse,7.73501525033505,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.3395346,recovery_not_bracketed_in_P2,0
955,coarse,7.81572735743004,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.0598904,recovery_not_bracketed_in_P2,0
955,coarse,7.89643946452503,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.389463,recovery_not_bracketed_in_P2,0
955,coarse,7.97715157162003,NaN,NaN,NaN,NaN,NaN,0,0,0,5,3.8737143,recovery_not_bracketed_in_P2,0
955,coarse,8.05786367871502,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.4503174,recovery_not_bracketed_in_P2,0
955,coarse,8.13857578581001,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.3720634,recovery_not_bracketed_in_P2,0
955,coarse,8.21928789290501,NaN,NaN,NaN,NaN,NaN,0,0,0,5,3.4797789,recovery_not_bracketed_in_P2,0
955,coarse,8.3,NaN,NaN,NaN,NaN,NaN,0,0,0,5,3.2540575,recovery_not_bracketed_in_P2,0
955,refine1,5.63650046586521,6.1134138549277,83.247502372632,493.743190163402,0.460039977321995,9.36007629737112e-08,1,1,1,9,7.3623839,,0
955,refine1,5.64457167657471,6.10774318026281,83.0696458670115,494.065911154774,0.460039889788986,6.06775424349948e-09,1,1,1,12,10.0716909,,0
955,refine1,5.65264288728421,6.10207321181855,82.8925290192879,494.388542864414,0.460039892794858,9.07362596169747e-09,1,1,1,11,9.0940567,,0
955,refine1,5.66071409799371,6.09640236015419,82.7161114243784,494.711148352322,0.460039889110866,5.38963407237247e-09,1,1,1,11,9.0011597,,0
955,refine1,5.66878530870321,6.0908890371458,82.5444158545062,495.026030328888,0.460050605912343,1.07221911108679e-05,1,1,1,8,6.2496238,,0
955,refine1,5.67685651941271,6.08509916442953,82.3664188261575,495.354227040421,0.460042687451549,2.80373031708026e-06,1,1,1,9,7.1285858,,0
955,refine1,5.68492773012221,6.07938574151656,82.1910867930529,495.678600426495,0.460040031412075,1.47690843221859e-07,1,1,1,11,10.4600135,,0
955,refine1,5.69299894083171,6.07371856639372,82.0176503346213,496.000602843561,0.460040598776919,7.15055687439126e-07,1,1,1,10,8.8310541,,0
955,refine1,5.70107015154121,6.06813055059945,81.8469401867241,496.318629272707,0.460046612827185,6.72910595317378e-06,1,1,1,8,7.9451979,,0
955,refine1,5.70914136225071,6.06249677681983,81.6757919236987,496.638712033674,0.460049656153317,9.77243208466483e-06,1,1,1,8,7.8048831,,0
955,refine1,5.71721257296021,6.05667071481658,81.5005046009256,496.967912879773,0.46003988537346,1.65222774350937e-09,1,1,1,15,13.788321,,0
955,refine1,5.7252837836697,6.05098748576377,81.3295543117064,497.290008898771,0.460039885522442,1.80120951487339e-09,1,1,1,15,13.6355541,,0
