DOE_ID,RootRescued,BestW_N30_kW,BestP1_N30_MPa,BranchScreenFlag,SeedStagnationFlag,RepairRequested,Repaired,PowerReduction_kW
234,0,NaN,NaN,0,0,0,0,0
235,0,114.266240723345,5.39408258175185,0,0,0,0,0
236,0,103.831745823342,5.34944303627763,1,0,1,0,0
237,0,NaN,NaN,0,0,0,0,0
238,0,NaN,NaN,0,0,0,0,0
239,0,NaN,NaN,0,0,0,0,0
240,0,105.953714673613,5.38326369976517,0,0,0,0,0
241,0,NaN,NaN,0,0,0,0,0
242,0,NaN,NaN,0,0,0,0,0
243,0,NaN,NaN,0,0,0,0,0
244,0,NaN,NaN,0,0,0,0,0
245,0,NaN,NaN,0,0,0,0,0
246,0,NaN,NaN,0,0,0,0,0
247,0,NaN,NaN,0,0,0,0,0
248,0,100.037788702737,5.89899570740201,0,0,0,0,0
249,0,NaN,NaN,0,0,0,0,0
250,0,NaN,NaN,0,0,0,0,0
251,0,NaN,NaN,0,0,0,0,0
252,0,106.632312140086,5.2800449495403,0,0,0,0,0
253,0,NaN,NaN,0,0,0,0,0
254,0,115.586755810437,5.95052477247743,0,0,0,0,0
255,0,NaN,NaN,0,0,0,0,0
256,0,98.6523851309438,5.9041238003804,0,0,0,0,0
257,0,97.7406057056259,5.27831898734196,0,0,0,0,0
258,0,NaN,NaN,0,0,0,0,0
259,0,NaN,NaN,0,0,0,0,0
260,0,NaN,NaN,0,0,0,0,0
261,0,NaN,NaN,0,0,0,0,0
262,0,NaN,NaN,0,0,0,0,0
263,0,97.620310425613,5.9234119059376,0,0,0,0,0
264,0,NaN,NaN,0,0,0,0,0
265,0,NaN,NaN,0,0,0,0,0
266,0,NaN,NaN,0,0,0,0,0
267,0,99.5287559709842,5.3670065868046,0,0,0,0,0
268,0,NaN,NaN,0,0,0,0,0
269,0,NaN,NaN,0,0,0,0,0
270,0,104.771891967201,5.92846374033372,0,0,0,0,0
271,0,NaN,NaN,0,0,0,0,0
272,0,NaN,NaN,0,0,0,0,0
273,0,NaN,NaN,0,0,0,0,0
274,0,108.61886739488,5.34534811982694,0,0,0,0,0
275,0,98.275295438398,5.32045644464953,0,0,0,0,0
276,0,NaN,NaN,0,0,0,0,0
277,0,NaN,NaN,0,0,0,0,0
278,0,110.500567278979,6.4986017248015,0,0,0,0,0
279,0,99.4369007376905,6.47476344921682,0,0,0,0,0
280,0,113.017150513317,5.89177394139852,0,0,0,0,0
281,0,NaN,NaN,0,0,0,0,0
282,0,90.0948040404966,5.89560473926891,0,0,0,0,0
283,0,92.5628805770799,5.91751146214666,0,0,0,0,0
284,0,NaN,NaN,0,0,0,0,0
285,0,NaN,NaN,0,0,0,0,0
286,0,NaN,NaN,0,0,0,0,0
287,0,NaN,NaN,0,0,0,0,0
288,0,NaN,NaN,0,0,0,0,0
289,0,NaN,NaN,0,0,0,0,0
290,0,NaN,NaN,0,0,0,0,0
291,0,93.4514020458649,4.66419905807297,0,0,0,0,0
292,0,NaN,NaN,0,0,0,0,0
293,0,NaN,NaN,0,0,0,0,0
294,0,NaN,NaN,0,0,0,0,0
295,0,NaN,NaN,0,0,0,0,0
296,0,NaN,NaN,0,0,0,0,0
297,0,NaN,NaN,0,0,0,0,0
298,0,105.320309605748,5.94428446721727,0,0,0,0,0
299,0,NaN,NaN,0,0,0,0,0
300,0,NaN,NaN,0,0,0,0,0
