Qf_train_m3h,T_RO_in_C,Cf_kg_m3,candidate_count,feasible_count,best_R_target_min_SEC,best_Qp_train_m3h,best_W_RO_train_kW,best_SEC_kWh_m3,best_Cp_mg_L,best_P1_opt_gauge_MPa,best_P2_opt_gauge_MPa,best_P_feasible,dSEC_dT_forward_kWh_m3K,dW_dT_forward_kW_K,dQp_dT_forward_m3h_K
49.05,34.5,38.8,35,18,0.55,26.9775,116.232815842249,4.30850952987671,500,4.60267095666015,7.94132322283452,0.825934117189816,-0.0585692736995238,-1.58005258122893,0
49.05,35,38.8,35,18,0.55,26.9775,115.442789551635,4.27922489302695,500,4.59835198993437,7.89966521986544,0.846160106604665,-0.0565038476953337,-1.52433255120087,0
49.05,35.5,38.8,35,18,0.55,26.9775,114.680623276034,4.25097296917929,500,4.59388427242883,7.85924853328279,0.860504935471388,-0.0545326592760933,-1.47115481562079,0
49.05,36,38.8,35,18,0.55,26.9775,113.945045868224,4.22370663954124,500,4.58930147799882,7.82004457457246,0.871178324813143,-0.0526486104322181,-1.42032788793517,0
49.05,36.5,38.8,35,18,0.55,26.9775,113.234881924256,4.19738233432513,500,4.58461786769397,7.78202097441582,0.87951231986062,-0.0508451209409344,-1.37167425018404,0
49.05,37,38.8,35,18,0.55,26.9775,112.549044799164,4.17195977385466,500,4.57983125473319,7.74514154023337,0.886292780751061,-0.0491161945778398,-1.32503213922368,0
49.05,37.5,38.8,35,18,0.55,26.9775,111.886528729552,4.14740167656574,500,4.57492756129171,7.70936679523709,0.891987237285771,-0.0474564347071453,-1.28025596731203,0
49.05,38,38.8,35,18,0.55,26.9775,111.246400745896,4.12367345921217,500,4.5698855684171,7.67465473827091,0.896889853457079,-0.0458610249611002,-1.23721580088807,0
49.05,38.5,38.8,35,18,0.55,26.9775,110.627792845452,4.10074294673162,500,4.56468105981588,7.64096159015768,0.901196140230618,-0.0443256872687154,-1.19579622829175,0
49.05,39,38.8,35,18,0.55,26.9775,110.029894731306,4.07858010309726,500,4.55929011774632,7.60824240106322,0.905029589538903,-0.0428466265319365,-1.15589486726532,0
49.05,39.5,38.8,35,18,0.55,26.9775,109.451947297674,4.05715678983129,500,4.55369166733448,7.57645146846301,0.908448145799883,-0.041420468796499,-1.11742069695754,0
49.05,40,38.8,35,18,0.55,26.9775,108.893236949195,4.03644655543304,500,4.54786948718845,7.54554256035854,0.911451500743203,-0.0400441977934189,-1.08029234597197,0
49.05,40.5,38.8,35,18,0.55,26.9775,108.353090776209,4.01642445653633,500,4.54181388713207,7.51546896206167,0.91399644023289,-0.038715093184555,-1.04443642638634,0
49.05,41,38.8,35,18,0.55,26.9775,107.830872563016,3.99706690994406,500,4.53552317382184,7.48618337515365,0.916016746329522,-0.0374306726658222,-1.00978597184223,0
49.05,41.5,38.8,35,18,0.55,26.9775,107.325979577095,3.97835157361115,500,4.52900492885829,7.45763770019914,0.917440981266627,-0.0361886392034458,-0.976279014110958,0
49.05,42,38.8,35,18,0.55,26.9775,106.837840070039,3.96025725400942,500,4.52227703430705,7.42978273472186,0.918203871761795,-0.0349868340430426,-0.943857315396173,0
49.05,42.5,38.8,35,18,0.55,26.9775,106.365911412341,3.9427638369879,500,4.51536830786336,7.40256781772498,0.918250752375516,-0.0338231956881803,-0.91246526167788,0
49.05,43,38.8,35,19,0.55,26.9775,105.909678781502,3.92585223914381,500,4.50831856202053,7.37594045356069,0.917536923711919,-0.0326957247523687,-0.882048914507038,0
49.05,43.5,38.8,35,19,0.55,26.9775,105.468654324249,3.90950437676763,500,4.50117788734802,7.34984595232884,0.916024393922915,-0.0316024544114413,-0.852555213884642,0
49.05,44,38.8,35,19,0.55,26.9775,105.042376717306,3.89370314956191,500,4.49400498860012,7.32422713159539,0.913678010602905,-0.0305414260955414,-0.823931322492484,0
49.05,44.5,38.8,35,19,0.55,26.9775,104.63041105606,3.87843243651414,500,4.48686448022011,7.29902413462809,0.910462232127901,-0.0295106700393282,-0.796124100985963,0
49.05,45,38.8,35,19,0.55,26.9775,104.232349005567,3.86367710149447,500,4.47982317375666,7.27417443207933,0.906339159764127,NaN,NaN,NaN
