T_RO_in_C,n_cases,n_in_domain,n_feasible,feasible_fraction,mean_SEC_kWh_m3,min_SEC_kWh_m3,mean_W_RO_train_kW,mean_Qp_train_m3h,mean_P1_opt_gauge_MPa,mean_P2_opt_gauge_MPa,mean_Cp_mg_L,dMeanSEC_dT_forward_kWh_m3K,dMinSEC_dT_forward_kWh_m3K
35.5,4235,4235,1964,0.463754427390791,3.77142978970555,2.97407310584593,106.699920293522,28.6113191191446,5.45527273013147,7.14300950952473,488.539113927909,-0.00561624618325851,-0.0134109903504571
36,4235,4235,1998,0.471782762691854,3.76862166661392,2.96736761067071,106.419071046809,28.5589598348348,5.42117370706391,7.11927913932866,488.444347923975,-0.025098607289685,-0.0138078831221042
36.5,4235,4235,2024,0.477922077922078,3.75607236296908,2.96046366910965,105.980257661886,28.5285977025691,5.39746449238516,7.09130903879111,488.317884626683,-0.0177874039141592,-0.0146801558071452
37,4235,4235,2049,0.483825265643447,3.747178661012,2.95312359120608,105.624538681579,28.4968505368472,5.37229568209448,7.06653028544929,488.21897838402,-0.00684237283993383,-0.0157518071977432
37.5,4235,4235,2075,0.489964580873672,3.74375747459203,2.94524768760721,105.32599739382,28.443733253012,5.34069522226688,7.04212561600257,488.141197817385,-0.0253724495617602,-0.0182964343056744
38,4235,4235,2098,0.495395513577332,3.73107124981115,2.93609947045437,104.89958273592,28.4187217588179,5.32009995143632,7.01486175660317,488.002768731602,-0.0246907152782923,-0.0152306050567388
38.5,4235,4235,2116,0.499645808736718,3.718725892172,2.928484167926,104.500444993455,28.3986278355387,5.29984798952092,6.98980537135936,487.847816937866,-0.00790962958779673,-0.0151962272883459
39,4235,4235,2148,0.507201889020071,3.71477107737811,2.92088605428183,104.206843847124,28.3504845204842,5.27094332768698,6.96618016835332,487.754858356342,-0.019172641665878,-0.013662316262276
39.5,4235,4235,2174,0.513341204250295,3.70518475654517,2.91405489615069,103.834257121988,28.318755174793,5.24913948443402,6.94064457741374,487.640659355949,-0.0295067647313125,-0.011057726769736
40,4235,4235,2201,0.519716646989374,3.69043137417951,2.90852603276582,103.419768025624,28.3116392548841,5.2345373777883,6.91518809150046,487.43123747087,-0.016023520761709,-0.00807520879054291
40.5,4235,4235,2217,0.523494687131051,3.68241961379866,2.90448842837055,103.080859624202,28.2791879792512,5.21205679364474,6.89135878464708,487.30131017276,-0.0180534399366197,-0.00997608510378889
41,4235,4235,2248,0.530814639905549,3.67339289383035,2.89950038581866,102.695593797851,28.2399014679715,5.1903499883029,6.86511975165689,487.21635915633,-0.0281299923455309,-0.0100918984293372
41.5,4235,4235,2288,0.54025974025974,3.65932789765758,2.89445443660399,102.207966336342,28.2086494755245,5.17368814682262,6.83528205969059,487.085472617682,-0.0249132073593525,-0.0165011918033766
42,4235,4235,2313,0.54616292798111,3.64687129397791,2.8862038407023,101.790294222381,28.1862626459144,5.15707663480881,6.80894330977482,486.895168756506,-0.0170041708146549,-0.0158896336008132
42.5,4235,4235,2365,0.558441558441558,3.63836920857058,2.87825902390189,101.385025907914,28.139982346723,5.13614143883428,6.7809452481229,486.799721007908,-0.0236741847285966,-0.0178887246157764
43,4235,4235,2399,0.566469893742621,3.62653211620628,2.86931466159401,100.950580767381,28.1066409962484,5.11791929650586,6.75329791465251,486.608153091021,-0.0264705597664019,-0.0139865377364341
43.5,4235,4235,2432,0.574262101534829,3.61329683632308,2.86232139272579,100.526099486794,28.087267578125,5.10339596615872,6.72654745688819,486.381514913949,-0.0217146594551503,-0.0148906642140938
44,4235,4235,2465,0.582054309327037,3.6024395065955,2.85487606061874,100.156108922488,28.0671492900608,5.08743152519368,6.70161934006222,486.127686801917,-0.0116064696586475,-0.0135365758835997
44.5,4235,4235,2501,0.590554899645809,3.59663627176618,2.84810777267694,99.8201662609432,28.0182202119152,5.06490599561175,6.67772227825729,486.080488121309,-0.0132015709298425,-0.00870303543719952
45,4235,4235,2522,0.595513577331759,3.59003548630126,2.84375625495834,99.5122709144522,27.9842485130848,5.04472920273192,6.65646900191474,485.970138748223,NaN,NaN
