Qf_train_m3h,T_RO_in_C,Cf_kg_m3,candidate_count,feasible_count,best_R_target_min_SEC,best_Qp_train_m3h,best_W_RO_train_kW,best_SEC_kWh_m3,best_Cp_mg_L,best_P1_opt_gauge_MPa,best_P2_opt_gauge_MPa,best_P_feasible
58.35,35,38.8,35,28,0.485,28.29975,85.3387495628848,3.01553015708212,498.259147529561,6.08170843162531,6.32674556414185,0.999877047575311
59.9,35,38.8,35,28,0.445,26.6555,80.0678684691889,3.00380291006317,498.504421951624,5.74871391658094,6.02946055798531,0.998852689197553
61.45,35,38.8,35,27,0.44,27.038,82.5291925341331,3.05234087336834,490.607844405963,5.81714404722106,5.96825808653537,0.887279739824724
63,35,38.8,35,16,0.495,31.185,99.3970061512572,3.18733385125083,453.600995712575,6.24867610729546,6.63024148244756,0.890184477975092
47.5,35.5,38.8,35,8,0.535,25.4125,120.545782147418,4.74356250457129,500,4.03368181283383,7.89399686917493,0.83843062818265
49.05,35.5,38.8,35,18,0.55,26.9775,114.680623276034,4.25097296917929,500,4.59388427242883,7.85924853328279,0.860504935471388
50.6,35.5,38.8,35,21,0.55,27.83,109.526030168013,3.93553827409316,500,5.00142744474917,7.68835650466422,0.921718700347634
52.15,35.5,38.8,35,24,0.55,28.6825,105.347739590465,3.67289251601028,500,5.40354436005251,7.51887622492801,0.968196250561086
53.7,35.5,38.8,35,26,0.555,29.8035,102.932552121441,3.45370685058605,500,5.86276372916814,7.40305126651554,0.926768898395011
55.25,35.5,38.8,35,27,0.54,29.835,97.6738559257755,3.27380110359562,500,6.10053496969892,7.07228083249032,0.999217876861046
56.8,35.5,38.8,35,29,0.51,28.968,90.2687105708026,3.11615267090592,500,6.09753022801303,6.63191707570927,0.999819219246735
58.35,35.5,38.8,35,29,0.485,28.29975,85.0589935499401,3.0056446982726,498.310764413819,6.06067530455757,6.30869452898111,0.999886866288535
59.9,35.5,38.8,35,28,0.445,26.6555,79.8100119110608,2.99412923828331,498.445691230702,5.72959154232434,6.00910723523014,0.999080025908396
61.45,35.5,38.8,35,27,0.44,27.038,82.2759286054301,3.04297391099305,489.236538705865,5.76916657206793,5.97517296874832,0.903850735977287
63,35.5,38.8,35,17,0.49,30.87,97.3103890645942,3.1522639800646,455.662825798092,6.18836042868309,6.5467931187885,0.818923879262254
47.5,36,38.8,35,8,0.535,25.4125,119.64404189777,4.70807838259793,500,4.03356963149099,7.84981229607065,0.885041365492459
49.05,36,38.8,35,18,0.55,26.9775,113.945045868224,4.22370663954124,500,4.58930147799882,7.82004457457246,0.871178324813143
50.6,36,38.8,35,21,0.55,27.83,108.915983946686,3.91361782057803,500,4.99315763735791,7.65350970623679,0.917584866838205
52.15,36,38.8,35,24,0.55,28.6825,104.848597571285,3.65549019685469,500,5.39126888102277,7.48880755426699,0.96223672571939
